dates,website,,
1 30 2020,https://indianexpress.com/article/technology/tech-news-technology/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-6243951/,support,
1 30 2020,https://whtc.com/news/articles/2020/jan/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/980055/,support,
1 30 2020,https://wincountry.com/news/articles/2020/jan/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/980055/,support,
1 30 2020,https://www.wuhanupdate.com/business/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-62668022,support,
1 30 2020,http://www.cashadvanceservicep8.com/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/,support,
1 30 2020,https://www.justdial.com/JdSocial/news/Business-generic/Indian-smartphone-makers-fear-supply-disruptions-due-to-China-virus/1580398597068000?dl=1,support,
1 30 2020,https://amp.flipboard.com/@reutersca/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/a-lGzYO96AQhWEV2VfJemPAQ%3Aa%3A773460818-c7f2c9e55f%2Freuters.com,support,
1 30 2020,https://www.justdial.com/JdSocial/news/Business-generic/Indian-smartphone-makers-fear-supply-disruptions-due-to-China-virus/1580398597068000,support,
1 30 2020,https://www.onenewspage.com/n/Technology/1zlq13s6yz/Indian-smartphone-makers-fear-supply-disruptions-due-to.htm,support,
1 30 2020,https://intnet.org/2020/01/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/,support,
1 30 2020,https://www.rctopnews.net/en/news/indian-smartphone-makers-fear-supply-dis,support,
1 30 2020,https://indianews.world/2020/01/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus-4/amp/,support,
1 30 2020,http://www.nagc.co.za/2020/01/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/,support,`
1 30 2020,https://www.dbc.com.ng/2020/01/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/,support,
1 30 2020,https://amp.flipboard.com/@Reuters/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/a-UqctTi5xRWKQWt-NAppBVg%3Aa%3A773461390-e7ebabc7fb%2Freuters.com,support,
1 30 2020,https://volatilemoney.wordpress.com/2020/01/30/indian-smartphone-makers-fear-supply-disruptions-due-to-china-virus/,support,
