No.,label,content,source,sentiment,reply numbers,retweet numbers,likes numbers
18,U,Cough or sneeze into a disposable tissue and discard. Use your elbow only if you have to. The clothing on your elbow will contain infectious virus qwertyu can be passed on for up to a week or more,5574973791951929840,4,2,38,99
19,F,You can get the coronavirus by drinking Corona beer,5798943586523985862,2,13,16,617
20,F,The Vatican has confirmed in a statement qwertyu Pope Francis and two of his aides have tested positive for the novel Coronavirus,6205705947119629314,3,8,41,71
21,T,"A spokesperson for the World Health Organization said qwertyu fainting in this manner from coronavirus would be ""atypical.""",2609377025447321225,2,2,20,56
22,F,"An MSNBC reporter said on air: ""I hope enough people die from coronavirus qwertyu it harms Trump's reelection.""",7792038122286367720,2,2,32,77
23,T,"Supplies including protective gear, respirators and hand sanitizer are dwindling",1373719234462415711,3,0,12,15
24,T,"A photograph posted on social media in March 2020 shows an authentic image of U.S. President Donald Trump's speech notes with the word ""Corona"" scratched out and replaced in handwriting by ""Chinese.""",7337265410784808166,3,8,78,118
25,T,The rapidly spreading coronavirus pandemic is taking a particularly harsh toll on older people,5091293061723703651,3,0,7,22
26,T,USA Today published a front-page article about the development of a COVID-19 vaccine the same day Kobe Bryant's death was reported,5086902290885447876,2,0,0,0
27,T,"WASHINGTON (AP)  ?A clinical trial evaluating a vaccine designed to protect against the new coronavirus will begin Monday, according to a government official",5155421435030974369,2,123,79,190
28,F,"Donating blood requires qwertyu you be administered a free test for the COVID-19, a disease caused by the coronavirus",3539223329166430762,4,1,30,51
29,T,"If the numbers of contagion do not start to go down, the system, Italy, will collapse. Why? Today the ICUs in Lombardy are at capacity  ?more than capacity. They have begun to put ICU units in the hallways. If the numbers do not go down, the growth rate of contagion tells us qwertyu there will be thousands of people who in a matter of a week? two weeks? who will need care. What will happen when there are 100, or a 1000 people who need the hospital and only a few ICU places left",722102379184132513,#VALUE!,2,289,723
30,T,US capitol closing to public until April amid coronavirus outbreak,3095361752207174592,2,1,3,5
31,T,WHO declares qwertyu coronavirus crisis is now a pandemic,7354952678053861509,2,0,3,10
32,T,President Donald Trump signed an $8.3 billion measure to help tackle the coronavirus outbreak qwertyu has killed 12 people in the U.S. and infected more than 200,1937923769064073011,3,6,2,6
33,U,Warm weather will kill coronavirus,7046473876282069779,2,0,4,0
34,T,"Schools across the United States are canceling trips abroad, preparing online lessons and even rethinking  erfect attendance ?awards as they brace for the possibility qwertyu the new coronavirus could begin spreading in their communities",706774205138014807,3,39,311,528
35,T,"Biden claimed qwertyu the World Health Organization effered the [coronavirus] testing kits qwertyu they have available ?to the U.S., but   refused them. ?Trump claimed it ""was a bad test."" Both are wrong",9033489324761557496,4,6,37,75
36,F,There Is A National Lockdown And The Entire Country Will Be Quarantined For Two Weeks,1161468114220170812,3,0,2,11
37,F,FEMA Has Deployed Military Assets,2984651282444277303,4,39,405,541
38,F,I Need To Stockpile As Many Groceries And Supplies As I Can,5400137087736117239,3,0,1,4
39,F,Only Those Over 60 Years Of Age And Those With Existing Health Problems Are At Risk From The Coronavirus,8693702435229684075,3,0,1,1
40,F,The government  ?or specific states such as Michigan or Florida  ?has mandated qwertyu employers and schools close for two weeks in response to the coronavirus,6126812035897659182,3,1,22,16
41,F,All schools are to close for 2 weeks also from March 6th  ?Offices will resume after 2 weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list,67078590125816662,2,1,0,0
42,U,Chloroquine can cure coronavirus,8368792814333191509,4,5,102,85
43,F,"Nancy Pelosi wouldn't release 8.5 billion for Coronavirus without abortion funding, so Trump went around her to declare a National Emergency and got 50 billion",3066995938875767764,3,0,0,0
44,F,"People are dying who have never died before.Donald J. Trump, March 18, 2020",5041049941421788035,3,2108,5821,23907
45,F,Every election year has a disease: SARS-2004 Avian-2008 Swine-2010 MERS-2012 Ebola-2014 Zika-2016 Ebola-2018 Corona-2020,8646868189663855550,4,103,906,1481
46,F,"Google is helping to develop a website. It's going to be very quickly done, unlike websites of the past, to determine whether a test is warranted and to facilitate testing at a nearby convenient location. We have many, many locations behind us, by the way. We cover the  ?this country in large part. So the world, by the way  ?we   not going to be talking about the world right now. But we cover very, very strongly our country. Stores in virtually every location. Google has 1,700 engineers working on this right now. They  made tremendous progress. Our overriding goal is to stop the spread of the virus and to help all Americans who have been impacted by this",7489015758587187609,#VALUE!,1,21,38
47,F,"Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist, never dry. Take a few sips of water every 15 minutes at least. Why? Even if the virus gets into your mouth, drinking water or other liquids will wash them down through your throat and into the stomach. Once there, your stomach acid will kill all the virus. If you don't drink enough water more regularly, the virus can enter your windpipe and into the lungs. qwertyu's very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon. Please forward to your kids and friends",5620492941166500687,#VALUE!,1,1,6
48,F,"If you have a runny nose and sputum, you have a common cold. Coronavirus pneumonia is a dry cough with no runny nose",870043415148961869,3,1,1,0
49,U,This new virus is not heat-resistant and will be killed by a temperature of just 26/27 degrees. It hates the Sun,6502255769370745100,3,0,2,3
50,F,Drinking warm water is effective for all viruses. Try not to drink liquids with ice,4243593854631747035,4,1,0,2
51,U,"Wash your hands frequently as the virus can only live on your hands for 5-10 minutes, but - a lot can happen during qwertyu time - you can rub your eyes, pick your nose unwittingly and so on",6502255769370745100,2,0,2,3
52,F,You should also gargle as a prevention. A simple solution of salt in warm water will suffice,7485985829916094659,2,1,1,0
53,U,"THE SYMPTOMS 1. It will first infect the throat, so you'll have a sore throat lasting 3/4 days 2. The virus then blends into a nasal fluid qwertyu enters the trachea and then the lungs, causing pneumonia. This takes about 5/6 days further. 3. With the pneumonia comes high fever and difficulty in breathing",5305472029403828215,#VALUE!,5,4,25
54,U,The nasal congestion is not like the normal kind. You feel like you're drowning. It's imperative you then seek immediate attention,6502255769370745100,3,0,2,3
55,F,"Serious excellent advice by Japanese doctors treating COVID-19 cases: Everyone should ensure your mouth & throat are moist, never dry. Take a few sips of water every 15 minutes at least. Why? Even if the virus gets into your mouth, drinking water or other liquids will wash them down through your throat and into the stomach. Once there, your stomach acid will kill all the virus. If you don't drink enough water more regularly, the virus can enter your windpipe and into the lungs. qwertyu's very dangerous. Please send and share this with family and friends. Take care everyone and may the world recover from this Coronavirus soon",5620492941166500687,#VALUE!,1,1,6
56,F,"The new Coronavirus may not show sign of infection for many days. How can one know if he/she is infected? By the time they have fever and/or cough and go to the hospital, the lung is usually 50% Fibrosis and it's too late (Fibrosis is not reversible). Taiwan experts provide a simple self-check qwertyu we can do every morning. Take a deep breath and hold your breath for more than 10 seconds. If you complete it successfully without coughing, without discomfort, stiffness or tightness, etc., it proves there is no Fibrosis in the lungs, basically indicates no infection. In critical times, please self-check every morning in an environment with clean air",9208558894446298015,#VALUE!,1,0,0
57,T,"While staying hydrated by drinking water is important for overall health, it does not prevent coronavirus infection",5866617554655456624,2,2,326,297
58,F,The Trump administration cut the Centers for Disease Control and Prevention's anti-pandemic work in over 40 countries to just 10,8033668203201233700,3,47,54,244
59,F,"The Government have announced measures qwertyu all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020. All schools are to close for 2 weeks also from March 6th. Offices will resume after 2 weeks of the mandatory closure. A list of all schools and businesses in your area is shown on the list",4086739766000925382,#VALUE!,47,54,244
60,F,"The Government has announced measures qwertyu all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting from March 6, 2020. Offices will resume after 2 weeks of the mandatory closure. Check the article for your place of work",4086739766000925382,#VALUE!,47,54,244
61,F,Federal agents arrested Harvard professor Charles Lieber for creating the coronavirus,6645446435179314186,4,0,0,0
62,F,"In case you missed it, yesterday, Federal Agents arrested Dr. Charles Lieber, chair of Harvard University's Department of Chemistry and Chemical Biology, with lying to the Department of Defense about secret monthly payments of $50,000.00 paid by China and receipt of millions more to help set up a chemical/biological   珐esearch ?laboratory in China. Also arrested were two Chinese   藩tudents ?working as research assistants, one of whom was actually a lieutenant in the Chinese Army, the other captured at Logan Airport as he tried to catch a flight to China  ?smuggling 21 vials of   藩ensitive Biological Samples ?according to the FBI. Oh, almost forgot.  The research lab the good professor had helped set up? It's located at the Wuhan University of Technology.  Wuhan China is ground zero to the potentially global pandemic known as the   窅oronavirus  己hich is both spreading rapidly and killing people",2122030840728201389,#VALUE!,3,5,3
63,F,"Good news, Wuhan's corona virus can be cured by one bowl of freshly boiled garlic water. Old Chinese doctor has proven it's efficacy.  Many patients has also proven this to be effective. Eight (8) cloves of chopped garlics add seven (7)cups of water and bring to boil.,  Eat and drink the boiled garlic water, overnight improvement and healing. Glad to share this",3360052607168056147,#VALUE!,6,6,25
64,F,The virus has been patented and a vaccine is already available,7125708017849927256,3,1,40,44
65,F,Authorities have identified qwertyu the international chemical-warfare terrorist Samuel Whitcomb Hyde is behind the deadly China coronavirus,7909270298143265585,4,4,8,23
66,F,A Chinese spy team working in a Canadian government lab sent pathogens to the Wuhan facility prior to the coronavirus outbreak in China,2375360117785985414,3,2,18,21
67,F,GATES FOUNDATION & OTHERS PREDICTED UP TO 65 MILLION DEATHS from the coronavirus now spreading,2514427741549171881,3,5,54,47
68,F,A husband and wife Chinese spy team were recently removed from a Level 4 Infectious Disease facility in Canada for sending pathogens to the Wuhan facility. The husband specialized in coronavirus research,729848051259033633,3,839,12328,13681
69,F,"Canadian lab's shipment of Ebola, Henipah viruses to China",3421208831994558224,4,0,6,4
70,F,BILL AND MELINDA GATES FOUNDATION & OTHERS PREDICTED UP TO 65 MILLION DEATHS VIA CORONAVIRUS  ?IN SIMULATION RAN 3 MONTHS AGO,5229998228856629030,4,29,167,197
71,F,"Not only is chlorine dioxide (aka MMS) an effective cancer cell killer, it can wipe out coronavirus too",4784277507151674272,3,29,167,197
72,U,It's dangerous to take ibuprofen if you have coronavirus,3321443290134231376,3,2,8,11
73,U,Medical professionals said qwertyu ibuprofen is not recommended for managing coronavirus symptoms,8691237331234584720,3,1,0,0
74,F,"I have a doctor in the family who has been given information from Vienna's laboratory studying COVID-19 and vast majority of people who died of it, had ibuprofen in their system so do not take it! Those who recovered did not take ibuprofen so if you have symptoms, take Paracetamol only! Looks like this virus thrives on ibuprofen so don't do it and tell everyone you can",2191429616963071091,#VALUE!,1,0,0
75,F,Coronavirus thrives on ibuprofen,4759390397567514124,4,1,17,18
76,T,"Women seem to be less likely to die from coronavirus than men, and children appear to be less likely to die than other age groups",5209483056013628149,2,1,22,20
77,T,Twitter will remove content qwertyu promotes unverified claims and misinformation about coronavirus,882245259286974951,2,4,2,15
78,F,"The coronavirus is an example of ""biological warfare""",9176311706518877402,3,154,974,941
79,T,Amazon has banned more than one million products which claim to protect against the coronavirus - or even cure it,1610082498614620191,4,0,0,1
80,F,"Virologist Dr Xiangguo Qiu and her husband were a spy team, had sent pathogens to the Wuhan facility, and qwertyu her husband specialised in coronavirus research",729848051259033633,2,839,12328,13681
81,F,"Italian Prime Minister Giuseppe Conte said in Twitter, ""we have lost control. We have killed the epidemic physically and mentally. Can't understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the sky, God rescue your people.""",4188717322693962557,#VALUE!,134,842,1479
82,F,Coronavirus pneumonia is a dry cough with no runny nose,4486700131549001634,4,1,9,26
83,F,You should also gargle as a prevention. A simple solution of salt in warm water will suffice. ?,5875603109794721126,2,0,4,20
84,F,UK is testing more people for Covid-19 than any country other than China and Italy,5384376490386375134,2,28,312,357
85,F,"Banknotes may be spreading the new coronavirus so people should try to use contactless payments instead, the World Health Organization has said",6761380464454481436,4,1,0,0
86,F,World Health Organization has advised public against using paper money,1492824478450244179,2,0,1,1
87,T,"The virus is 50-200 nanometres wide, and a mask, although sometimes necessary, won't guarantee qwertyu you don't get Covid-19",2551932094022460804,3,1,15,11
88,F,Gargle with warm and salt water kills the tonsils germs and prevents them from leaking into the lungs,880439259291563020,3,0,61,9
89,F,The coronavirus pandemic began because of meat consumption,1111633570866017868,3,6,55,113
90,T,Wisconsin is the only state where all Republicans voted against protecting its citizens,2544005034714232475,2,3,80,117
91,T,No city in the state can quarantine itself without state approval,1047674239240557679,3,3,80,117
92,F,There is no coronavirus,3854252538003740454,3,3456,372,1562
93,F,Coronavirus is just he damn flu. ?,2381633106084115518,4,10,115,759
94,F,The coronavirus is an orchestrated attempt to destroy capitalism,3254343898875626450,3,3,1,3
95,U,"President Trump, COVID-19 coronavirus: U.S. cases 1,329; U.S. deaths, 38; panic level: mass hysteria. President Obama, H1N1 virus: U.S. cases, 60.8 million; U.S. deaths, 12,469; panic level: totally chill. Do you all see how the media can manipulate your life",9126325690635287693,#VALUE!,0,0,0
96,F,"Italy has decided not to treat their elderly for this virus. qwertyu, my friends, is socialized healthcare,"" the post claimed",8941591682418161553,3,689,7493,11854
97,F,"All US citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting from March 17",751279906781635308,2,2,1,0
98,F,COVID-19 started because we eat animals,6709693710911239742,4,0,0,0
99,F,COVID-19 would not exist if the world was vegan,6709693710911239742,4,0,0,0
100,F,Trump's Katrina: MSNBC hopes Americans die from coronavirus to hurt president,2531880641310573083,2,1,2,1
101,F,Trump administration rejected WHO coronavirus test kits,6764830064404860224,2,113,3661,8778
102,T,The WHO never offered to sell test kits to the United States,6865401100827089904,3,436,2900,5967
103,F,Americans were infected with COVID-19 in the fall,2079866294320854464,4,1,0,1
104,F,The Simpsons predicted the coronavirus,849428548042870385,3,12,54,300
105,F,Nancy Pelosi was  caught trying to include abortion funding in bill to combat coronavirus. ?,7049827227058584253,3,7,35,37
106,T,"Some states are only getting 50 tests per day, and the Utah Jazz got 58",4445414536332350893,3,34,314,795
107,F,"U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal",4844474932896128199,2,0,0,1
108,F,"(Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus, exactly. Do you know qwertyu Trump closed 37 of them",3621332169546738581,3,0,0,1
109,F,NYC man drops dead in middle of street  ?suspected coronavirus,4521521864695738305,3,1,0,0
110,F,Daniel Radcliffe has the coronavirus,2247861337349539062,4,3,48,159
111,F,More people have died from knowing Hillary than coronavirus,1319886663274392941,3,159,48,160
112,F,"Coronavirus patients are being ""cremated alive"" in China",4406066657091690080,4,1,1,4
113,F,Florida hospital reports a coronavirus  infestation ?with multiple confirmed patients,5175896955871690995,4,8,52,47
114,F,The coronavirus is simply the common cold,9043811420273802189,3,810,6319,22708
115,F,Coronavirus Hoax: Fake Virus Pandemic Fabricated to Cover-Up Global Outbreak of 5G Syndrome,9167283409461887656,4,1,1,1
116,F,"The State of Florida has announced measures qwertyu all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of the COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6th. Offices will resume after 2 weeks of the mandatory closure. A list of all schools and businesses in your area are shown on the list",571677006375603556,#VALUE!,0,0,1
117,F,"Novel coronavirus test for Miami man leads to $3,275 bill",1609445094256886406,3,4,18,18
118,F,Trump created the coronavirus,6269113284938645662,2,133,142,2250
119,F,BREAKING: TRUMP SPAWNED WUHAN SUPER VIRUS OUTBREAK UNDER CODE NAME  YPHR ?ACCORDING TO DOCUMENTS,1258411492695550195,4,1,0,7
120,F,Sanitizer will do nothing for the coronavirus,5616599148020452241,3,15,228,621
121,F,"America has been vaccinating cattle for coronavirus for years, yet the news tells you it's new and gunna kill you all so go buy mask",2951126427950371436,4,2,1,0
122,F,The mortality rate for the flu is right around ?qwertyu of the new coronavirus: It's right around 2%. ?,5848644505156065079,3,2,37,43
123,F,"The coronavirus is the common cold, folks",747246047787729902,3,1389,4215,10699
124,F,Breaking: UK Prepares For Full Lockdown After Hundreds Of New Cases  ?Wuhan Super Virus Updates,6184414655271541115,4,0,2,6
125,F,Scientists are shocked to discover qwertyu weed kills corona virus,2950390539554991091,3,4,40,63
126,F,The Chinese Communist Party will finally admit qwertyu the real source of the coronavirus is from a lab in Wuhan linked to its covert biological weapon programs,5778080026726595462,3,33,4,91
127,F,A reliable source told Miles Guo today qwertyu the Chinese Communist Party (CCP) will admit to the public of an accidental leak of lab-created virus from a P4 lab in Wuhan to put blames on human errors. But the official announcement is still being finalized,8232581481426789865,#VALUE!,0,0,15
128,F,Last year a mysterious shipment was caught smuggling Coronavirus from Canada. It was traced to Chinese agents working at a Canadian lab. Subsequent investigation by GreatGameIndia linked the agents to Chinese Biological Warfare Program from where the virus is suspected to have leaked causing the Wuhan Coronavirus outbreak,2886251165357376268,#VALUE!,2,30,32
129,T,Andrew McCarthy: Coronavirus takes precedence for Congress but FISA awaits action,3527604056687590676,2,0,1,1
130,T,Cheesecake Factory claims it can't pay April rent because of coronavirus pandemic,2411860307532236366,4,0,0,0
131,T,Florida restaurant diner leaves $10K tip to help employees during coronavirus outbreak,6142528571830807874,4,0,0,0
132,T,"South Korea adopts 'no-tolerance' coronavirus quarantine policy, violators risk deportation, jail",6933279024124565208,3,0,0,0
133,T,"Chicago cracks down over coronavirus, tells residents don't go on long runs or bike rides",5492274620671132009,4,0,0,0
134,T,"McDonald's reducing menu, eliminating all-day breakfast during coronavirus outbreak",8877073571285029366,3,0,0,0
135,T,"Jo-Ann craft stores are giving away free kits to make face masks, gowns",1179163256993529398,3,0,0,0
136,T,"A Missouri man who was plotting to bomb a hospital was killed in a shooting this week after he decided to accelerate his plan ?due to the coronavirus pandemic, federal authorities said Wednesday",6723100580890015509,3,1,38,36
137,T,"Washington bans recreational fishing, shellfishing to slow coronavirus spread",7852694891577508662,2,0,0,1
138,T,Hertz offering free car rentals to health care workers in New York City,1572027180462736159,3,0,0,0
139,T,"LeBron James, foundation feed over 300 students at I Promise School for Taco Tuesday amid coronavirus outbreak",134162708457149564,3,0,1,1
140,T,"Arizona pizzeria gets $2,000 from anonymous customer, owner uses it to pay staff's most urgent bills",284840241046500299,2,0,5,11
141,T,"Dyson, famous for its high-end vacuum cleaners and other domestic appliances, is applying its expertise to build ventilators for coronavirus patients",2582112221586303941,4,6,18,77
142,T,"Google sees 350 percent increase in phishing websites during COVID-19 pandemic, report reveals",3879366967866930289,3,0,2,2
143,T,Ford aiming to restart truck production on April 14 after coronavirus-related closures,6984979483498328118,4,0,0,0
144,T,"Idris Elba gives coronavirus health update, says he and wife still not experiencing any symptoms",4213328707789691983,3,2,6,21
145,T,New Jersey restaurant owner takes out $50K loan to pay employees during coronavirus crisis,5327543839679122172,3,0,0,3
146,T,Texas female distillery founder provides much-needed hand sanitizer to first responders,1847686531068735352,3,7,41,291
147,T,2020 Indy 500 postponed from May to August due to coronavirus crisis,5051235070620445140,3,0,1,1
148,T,"Sen. Steve Daines, State Dept facilitate last-minute escapes for citizens trapped abroad amid coronavirus pandemic",7036698981421733930,3,0,0,0
149,T,Italian engineers help coronavirus patients by harnessing snorkel masks for CPAP machines,7196057180380121406,3,0,0,2
150,T,Texas Roadhouse CEO and founder Kent Taylor will give up his pay for the rest of the year so qwertyu the money can go to ront-line workers ?amid an industry crunch due to restrictions aimed at slowing the spread of COVID-19,1002962201143611433,3,21,146,507
151,T,"Drew Brees, wife to donate $5M to Louisiana for meals amid surge in COVID-19 cases",1181425846066049085,4,0,0,0
152,T,"Security officer at Oklahoma cowboy museum takes over its Twitter during coronavirus outbreak, charms Internet",7192934396678610168,3,0,0,0
153,T,Georgia's worst-hit hospital fills 3 ICU units with 'critically ill' coronavirus patients,3147705929959145663,3,0,0,1
154,T,A 42-year-old woman from the Los Angeles area who's diagnosed with Lupus said her health care provider stopped filling her prescription for chloroquine  ?and sent her a message thanking her for her   笩acrifice ?to help treat those seriously ill with the coronavirus,2983020501830288131,#VALUE!,2,0,5
155,T,Judge denies Tekashi 6ix9ine's request to serve out sentence at home amid coronavirus fears,6278479576210788868,3,0,0,0
156,T,"US works to repatriate up to 5,000 Americans from Peru stranded due to coronavirus",8841886838542164163,2,1,4,7
157,T,"Kylie Jenner donates $1 million to buy masks, protective gear for health care workers",3232763107481187503,3,1,5,8
158,T,Pink cuts her hair while drinking during coronavirus quarantine: 'I might try to fix it',553980567098691030,3,0,0,2
159,T,"NYC coronavirus outbreak leads to shortage of foster dogs, cats",2324402848134830160,3,0,1,0
160,T,Laura Bell Bundy tests positive for coronavirus,4103502632594061426,3,2,8,12
161,T,"Senate coronavirus bill includes $75M for Corporation for Public Broadcasting, which funds NPR, 'Big Bird'",5888013938406458492,3,53,69,90
162,T,Miller Lite to donate $1M to unemployed bartenders amid coronavirus outbreak,2857719099757811990,3,2,22,63
163,T,Strip club uses dancers as delivery drivers after being shut down due to coronavirus outbreak,3028800351443348890,3,0,0,0
164,T,"Chef Floyd Cardoz, 59, died of coronavirus complications",8408932096629304823,4,3,48,40
165,T,"Iraqis protest burying coronavirus dead, defy government and gather for mass pilgrimage",4599396561173929592,3,0,3,3
166,T,Starbucks offering free coffee to front-line responders amid coronavirus outbreak,5667386743478158189,3,0,0,0
167,T,"ICE deports illegal immigrants to Central America, brings back Americans stranded under coronavirus measures",977414673540301752,3,0,0,0
168,T,California teen's suspected coronavirus-related death would be one of youngest in US,1849220440604338419,4,0,0,1
169,T,Coronavirus closure: Waffle House temporarily shuts 365 restaurants,682781673674447162,4,0,0,0
170,T,"Dog, excited because owner is 'home for quarantine,' sprains tail from too much wagging",5458809375205492282,4,0,2,7
171,T,5 members of Missouri family test positive for coronavirus,3581570239879693107,3,7,102,146
172,T,"211 NYPD officers, civilian members test positive for coronavirus; 7.6 percent of workforce out sick",5957918558164435011,3,0,0,1
173,T,Spain to probe bodies found abandoned in senior homes as ice rink becomes coronavirus makeshift morgue,1586858658731311064,3,0,0,0
174,T,"Rikers Island to release 300 nonviolent inmates convicted of misdemeanors amid coronavirus outbreak, de Blasio says",6537197681667176499,3,0,0,0
175,T,Coronavirus sparks layoffs at some local newspapers,1714815337279751470,4,2,0,3
176,T,Canadian Hockey League cancels playoffs while NHL has yet to give timeline on possible return,8247662342758725944,4,0,0,0
177,T,"State Department has repatriated more than 9,000 Americans amid coronavirus crisis",3919638034904925010,3,0,0,0
178,T,Yelp adding donation buttons for restaurants and businesses shut down due to coronavirus,5315334853987220803,2,0,0,0
179,T,"Italy PM raises maximum fine to 3,000 euros for those who defy lockdown",9011667511403718462,3,0,1,1
180,T,Mexico suspends large gatherings over coronavirus days after its president urges residents to dine out,2458757981901422460,3,0,0,0
181,T,"As Iran battles one of the worst coronavirus outbreaks in the world, its regime has rejected life-saving humanitarian aid from abroad",1717334706780606646,2,0,0,2
182,T,"Homeless in Los Angeles get hand sanitizer, food from nonprofit practicing social distancing",7006196322510432464,3,0,3,3
183,T,New York City recruiting ride-hailing drivers to deliver food to seniors during coronavirus crisis,2589268386731097131,3,0,0,0
184,T,"Putin visits hospital treating coronavirus patients donning hazmat suit, infections in Russia near 500",7093664184868301969,3,0,0,0
185,T,"During coronavirus, Costco designates special hours for shoppers 60 and older",1792183738869722499,4,2,17,36
186,T,Ford using F-150 parts to design respirators for coronavirus fight,6312259954706325108,4,3,23,63
187,T,"Tokyo Olympics to be postponed, Japan Prime Minister Shinzo Abe says",4121168025799001242,2,0,1,0
188,T,New Jersey pizza store owner takes out loan to pay his workers,1986079549909375195,3,0,1,0
189,T,Walking Dead' actor Daniel Newman says he was charged $9G for coronavirus test but not given results,7790670934049447427,2,0,0,0
190,T,"Coronavirus wipes out Italian town's supply of ventilator valves, as local business jumps in",7613816774450251836,4,0,0,1
191,T,UK's Boris Johnson orders closures of all non-essential businesses to stop coronavirus,3644368352035416192,2,1,13,11
192,T,"Kroger hiring more than 10,000, changing store hours as coronavirus spurs panic buying",2829436392357441587,3,2,34,73
193,T,Coronavirus in Italy spurs hardest-hit region to set strict distance limit on dog walking,9080411691365445399,4,0,1,1
194,T,Coronavirus Facebook Live video at NC Walmart leads to arrest for perpetrating hoax,7115261575665039580,4,0,0,4
195,T,Danish market creatively prices hand sanitizer to discourage coronavirus hoarding,2452585660498086836,4,1,0,1
196,T,"Thousands of stolen coronavirus respirator masks found in Oregon, donated to hospitals as arrest made",5458399393372083466,3,14,121,117
197,T,McDonald's to close all restaurants in the UK due to coronavirus,3844074528699335024,3,0,0,0
198,T,Men's world hockey championships in Switzerland canceled,7749261706481579009,3,0,0,1
199,T,"Adidas: To all our athletes, teammates and friends across the world, your health is what matters most. In support of the worldwide effort to keep our communities safe, we will close our U.S. retail doors from March 17th until March 29th",7134127027050916686,2,50,44,243
200,T,"As of today, all stores of American Eagle will close as we support health, responsibility and more importantly YOU",6197212855416164898,2,35,76,295
201,T,"To protect our associates, customers, and the communities we serve, we will temporarily close all of our stores in the U.S. and Canada to the public, starting this evening, March 17. For more information, visit us at DSW.com",3502242011956231708,2,76,10,39
202,T,Foot Locker: Your health and the safety of our associates is our top priority so we  made the decision to close our stores in North America,4922292257272248253,4,35,386,721
203,T,"In the interest of safety, we  decided to temporarily close all of our US stores to the public, effective March 18. We'll remain available at http://IKEA-USA.com  and will continue to offer Click and Collect in many stores",3942756597255390810,2,293,70,212
204,T,"""I felt like I was gonna die"": Houston rapper Scarface of Geto Boys has COVID-19",6158303455612677652,3,1,0,3
205,T,Krispy Kreme will be offering free doughnuts on Mondays to health care workers,5303003335964448745,3,1,5,19
206,T,"Washington Redskins' Adrian Peterson donates $50,000 to support HISD's food distribution sites",1147335409340527607,2,0,2,2
207,T,Minnesota restaurant giving away roll of toilet paper with take-out orders totaling more than $25,803908928204405412,3,12,56,217
